"Tool","Size","SHA256"
"SharpWSUS","50688","76EE1CDE6933C7EE..."
"SCCMHound","3334144","DFB8E02B54D5BF08..."
"Crassus","70656","065C2E46B7EE9749..."
"adalanche-windows-arm64-v2025.2.6-36-g8b3190a","38828544","3EA6D0D515857200..."
"Snaffler","79872","E684B8BA4DF2B0F4..."
"Stracciatella","999424","C1A05E08EC6CF4D7..."
"Whisker","44544","128F032EDBE1EF39..."
"Inveigh","150016","FCF9181EAECC6378..."
"Rubeus","507904","8E170AD021676975..."
"adalanche-collector-windows-386-v2025.2.6-36-g8b3190a","14648320","874BB8EECC938E5D..."
"lazagne","11191889","87CD0EAE1F245DCE..."
"ThreatCheck","14336","8FED7FF49457B927..."
"Certify","178176","16AF940BA7AE8549..."
"Certipy","12612200","4732A74BFBCC8A5D..."
"winPEAS","10307072","EBFD1CE957CBA8A4..."
"SharpSCCM","1125888","1B4E201F2C04AF38..."
"adalanche-collector-windows-x64-v2025.2.6-36-g8b3190a","15364608","5C06FB9736B74D4B..."
"Seatbelt","694784","BAE2A93171A1F81E..."
"adalanche-windows-x64-v2025.2.6-36-g8b3190a","43547648","57E41A1EC9BA5C58..."
"mimikatz","1424896","CB6EF6955129CE91..."
"SharpHound","1340928","33F99E6288BF2548..."
"SharpUp","41472","2B27FD56C6030523..."
